Name,Add,Px,Py,Changetime,Picture1
旗山車站-糖鐵故事館,高雄市842旗山區中山路1號,120.48197,22.88462,2022/05/19 09:49:49,https://khh.travel/content/images/Attractions/20075/640x480_attractions-image-nfuw3hgy1ucfyfc8ijrylq.jpg
西子灣風景區,高雄市804鼓山區蓮海路51號,120.26476,22.62488,,
美濃客家文物館,高雄市843美濃區民族路49-3號,120.55754,22.91107,2022/05/19 09:04:40,https://khh.travel/content/images/Attractions/20137/640x480_attractions-image-yt9fedvu6esuqsfs1kve3w.jpg
鳳儀書院,高雄市830鳳山區鳳崗里鳳明街62號,120.35948,22.62775,2022/05/18 17:40:16,https://khh.travel/content/images/Attractions/18534/640x480_attractions-image-gwlrnkhfvkmko9ivoo6rca.jpg
美濃民俗村,高雄市843美濃區中山路二段421巷80號,120.51397,22.89313,2022/05/18 16:32:51,https://khh.travel/content/images/Attractions/20154/640x480_attractions-image-tqpmydatskmezl7ictvc0q.jpg
岡山公園,,120.29175,22.79674,,
開漳聖王廟,高雄市830鳳山區忠義街132號,120.35201,22.62812,2022/05/13 10:10:48,https://khh.travel/image/568/640x480
三鳳宮,高雄市807三民區河北二路134號,120.29416,22.63584,2022/05/13 10:00:26,https://khh.travel/image/736/640x480
壽天宮,高雄市820岡山區壽天里公園路40號,120.29112,22.79814,2022/05/13 09:59:13,https://khh.travel/image/957/640x480
高雄關帝廟(武廟),高雄市802苓雅區武廟路52號,120.33155,22.63027,2022/05/13 09:41:43,https://khh.travel/image/374/640x480
玫瑰聖母聖殿主教座堂,高雄市802苓雅區五福三路151號,120.29162,22.62032,2022/05/13 09:39:54,https://khh.travel/image/1421/640x480
義大世界,高雄市840大樹區學城路一段12號,120.40673,22.72984,,
城市光廊,高雄市801前金區中華三路6號,120.29890,22.62305,2022/05/06 10:45:14,https://khh.travel/image/875/640x480
甲仙化石館,高雄市847甲仙區和安村四德巷10號之10,120.58827,23.09219,2022/04/26 15:13:43,https://khh.travel/image/334/640x480
新光碼頭,高雄市802苓雅區新光路底與成功二路交叉口,120.29773,22.60906,2022/04/26 15:12:42,https://khh.travel/content/images/Attractions/20121/640x480_attractions-image-q700de17zewmpewp15sjdg.jpg
鼓山公園,高雄市842旗山區中正路上,120.47706,22.89000,2022/04/26 15:06:07,https://khh.travel/image/1067/640x480
旗山糖廠,高雄市842旗山區糖廠里忠孝街33號,120.49168,22.88162,2022/04/26 15:04:39,https://khh.travel/content/images/Attractions/39185/640x480_attractions-image-1g4mekyq50wzil-a-hqehg.jpg
臺糖花卉農園中心,高雄市825橋頭區橋南里創新路93號,120.32486,22.74117,2022/04/26 15:02:57,https://khh.travel/image/1150/640x480
燕巢雞冠山,高雄市824燕巢區金山村,120.39775,22.80912,2022/04/26 15:02:43,https://khh.travel/image/1168/640x480
南寮漁港,高雄市827彌陀區漁港一路60號,120.23341,22.76236,2022/04/26 15:02:13,https://khh.travel/image/1175/640x480
訓風砲台,高雄市830鳳山區勝利路,120.36192,22.61984,2022/04/26 15:00:45,https://khh.travel/content/images/Attractions/20019/640x480_attractions-image-nr3hitpcduk2swasrqktyq.jpg
